time_ms,rawAccelX_g,rawAccelY_g,rawAccelZ_g,rawGyroX_dps,rawGyroY_dps,rawGyroZ_dps,filteredAccelX_g,filteredAccelY_g,filteredAccelZ_g,filteredGyroX_dps,filteredGyroY_dps,filteredGyroZ_dps
10312,0.045996,-0.141230,-0.180347,-0.566336,14.612061,-5.645725,0.024365,-0.151229,0.019829,-0.236358,0.631370,1.292968
10412,-0.044092,-0.209102,-0.118823,-9.764809,12.474656,-7.439619,0.010673,-0.162803,-0.007901,-1.189203,1.815699,0.419709
10512,-0.101953,-0.210078,-0.085864,-2.230458,5.192214,-7.401451,-0.011852,-0.172258,-0.023494,-1.293329,2.153351,-0.362407
10612,-0.001123,-0.171260,-0.108325,8.861145,-7.181832,1.193969,-0.009706,-0.172058,-0.040460,-0.277881,1.219832,-0.206769
10712,0.019385,-0.226191,-0.204761,2.769542,3.131145,11.919161,-0.003888,-0.182885,-0.073320,0.026861,1.410964,1.005824
10812,0.100928,0.033086,-0.438647,23.990917,-66.975731,-25.775497,0.017075,-0.139691,-0.146386,2.423267,-5.427708,-1.672309
10912,-0.035059,-0.329219,0.574536,-26.665571,0.810534,-15.683894,0.006648,-0.177596,-0.002201,-0.485617,-4.803884,-3.073468
11012,-0.114404,-0.169795,0.088452,-5.047252,24.970839,2.232137,-0.017562,-0.176036,0.015929,-0.941781,-1.826411,-2.542907
11112,-0.000146,-0.210811,-0.041431,9.021451,-10.204733,6.858091,-0.014079,-0.182991,0.004457,0.054543,-2.664243,-1.602807
11212,-0.037500,-0.212764,0.020337,5.784809,5.711298,4.438244,-0.018763,-0.188946,0.007633,0.627570,-1.826689,-0.998702
11312,-0.004541,-0.180781,0.107007,-6.131221,15.115877,2.583282,-0.015919,-0.187313,0.027508,-0.048310,-0.132432,-0.640503
11412,-0.167871,-0.117549,0.243726,6.922214,1.092977,17.613815,-0.046309,-0.173360,0.070752,0.648743,-0.009891,1.184929
11512,-0.105127,-0.130732,0.273022,40.983284,-1.059695,28.132900,-0.058073,-0.164834,0.111206,4.682198,-0.114871,3.879727
11612,0.050879,-0.133174,-0.196460,13.311527,5.917405,-12.889999,-0.036282,-0.158502,0.049673,5.545131,0.488357,2.202754
11712,0.001074,-0.193232,-0.211841,-10.474732,10.337252,-7.370916,-0.028811,-0.165448,-0.002630,3.943144,1.473246,1.245386
11812,-0.022607,-0.192500,-0.109302,-1.909847,-7.861222,-2.462519,-0.027570,-0.170859,-0.023964,3.357845,0.539799,0.874596
11912,0.022803,-0.167109,-0.082935,-1.291527,-7.097863,-3.172443,-0.017496,-0.170109,-0.035758,2.892908,-0.223967,0.469892
12012,0.011328,-0.169551,0.041577,-1.230458,-9.250535,-1.760229,-0.011731,-0.169997,-0.020291,2.480571,-1.126624,0.246880
12112,0.259863,-0.263057,-0.342700,8.113054,19.108244,7.056565,0.042588,-0.188609,-0.084773,3.043819,0.896863,0.927848
12212,-0.406885,-0.264766,-0.418628,-48.093052,-20.868856,-2.775496,-0.047307,-0.203840,-0.151544,-2.069869,-1.279709,0.557514
12312,-0.144434,-0.118281,0.381177,36.219925,-12.151299,24.644350,-0.066732,-0.186729,-0.045000,1.759111,-2.366868,2.966198
12412,-0.110742,-0.192256,0.263013,-33.077785,38.176949,-3.279313,-0.075534,-0.187834,0.016603,-1.724579,1.687514,2.341647
12512,-0.091943,-0.227656,-0.066821,-0.955649,3.634962,0.797023,-0.078816,-0.195798,-0.000082,-1.647686,1.882259,2.187184
12612,-0.040918,-0.183711,-0.157886,8.968016,-6.739084,-1.073206,-0.071236,-0.193381,-0.031643,-0.586116,1.020125,1.861145
12712,-0.411035,-0.614131,1.001233,-58.749542,-10.586412,-2.470153,-0.139196,-0.277531,0.174932,-6.402460,-0.140529,1.428015
12812,-0.124902,0.037480,-0.605640,76.258087,29.841068,5.636717,-0.136337,-0.214529,0.018818,1.863597,2.857631,1.848886
12912,-0.031152,-0.170527,-0.456470,-47.535801,17.154045,-0.760229,-0.115300,-0.205728,-0.076240,-3.076344,4.287272,1.587974
13012,-0.121240,-0.241328,-0.248706,-10.780076,0.986107,-3.172443,-0.116488,-0.212848,-0.110733,-3.846717,3.957156,1.111932
13112,-0.135645,-0.283564,-0.048999,1.273359,-10.052062,-1.828931,-0.120320,-0.226992,-0.098386,-3.334710,2.556233,0.817846
13212,-0.083643,-0.220088,-0.122241,10.510000,-16.525345,-0.798397,-0.112984,-0.225611,-0.103157,-1.950238,0.648075,0.656222
13312,0.191992,0.340947,-1.333423,40.174122,-69.471909,-30.317482,-0.051989,-0.112299,-0.349210,2.262199,-6.363925,-2.441150
13412,-0.319971,-0.732783,0.786206,-98.260994,37.757099,-30.584658,-0.105585,-0.236396,-0.122127,-7.790123,-1.951822,-5.255501
13512,-0.219873,-0.314082,0.320874,43.571068,-39.326870,-2.477786,-0.128443,-0.251933,-0.033527,-2.654003,-5.689327,-4.977729
13612,-0.051416,-0.252070,0.000806,-1.627405,-1.678015,1.087099,-0.113037,-0.251961,-0.026660,-2.551343,-5.288196,-4.371246
13712,-0.027490,-0.274531,-0.074878,7.960382,6.360153,-0.515954,-0.095928,-0.256475,-0.036304,-1.500170,-4.123361,-3.985717
13812,-0.041406,-0.209102,-0.007007,6.219923,-7.960459,-3.958703,-0.085024,-0.247000,-0.030444,-0.728161,-4.507071,-3.983016
13912,-0.665186,-0.942988,0.993481,75.410759,-30.006260,58.377178,-0.201056,-0.386198,0.174341,6.885733,-7.056991,2.253005
14012,0.483252,0.358037,-1.229175,-4.948015,20.604427,-3.134275,-0.064194,-0.237351,-0.106362,5.702358,-4.290848,1.714277
14112,-0.225000,-0.290156,-0.413745,-35.138855,42.734200,-2.294580,-0.096356,-0.247912,-0.167839,1.618236,0.411658,1.313391
14212,-0.100732,-0.247187,-0.093188,2.670305,-14.532978,-2.431985,-0.097231,-0.247767,-0.152909,1.723443,-1.082806,0.938854
14312,-0.119775,-0.227168,-0.051929,5.082519,-16.074963,-2.348015,-0.101740,-0.243647,-0.132713,2.059351,-2.582022,0.610167
14412,0.060156,-0.112422,-0.278979,22.655039,-33.181831,4.384809,-0.069361,-0.217402,-0.161966,4.118920,-5.642004,0.987631
14512,0.007666,-0.119990,-0.505786,-89.948021,76.940300,15.651984,-0.053955,-0.197920,-0.230730,-5.287777,2.616228,2.454067
14612,-0.186426,-0.669307,1.001233,35.723740,-83.548248,-25.264046,-0.080449,-0.292197,0.015662,-1.186625,-6.000222,-0.317745
14712,0.004248,-0.199580,-0.188892,11.189390,18.986107,-11.515954,-0.063510,-0.273674,-0.025248,0.050977,-3.501588,-1.437566
14812,-0.007227,-0.331904,-0.071704,4.021451,-1.525344,-5.676260,-0.052253,-0.285320,-0.034540,0.448025,-3.303964,-1.861436
14912,0.034277,-0.256221,-0.022388,8.761909,-9.174199,1.476412,-0.034947,-0.279500,-0.032109,1.279413,-3.890988,-1.527651
15012,-0.204492,-0.351924,0.439771,-23.726641,12.230381,-3.615191,-0.068856,-0.293985,0.062267,-1.221193,-2.278850,-1.736405
15112,0.064795,-0.493281,0.397778,22.189390,36.352520,24.033663,-0.042126,-0.333844,0.129369,1.119866,1.584288,0.840603
